timestamp,sensor1_smoothed,sensor1_bpm,sensor2_smoothed,sensor2_bpm
44:57.4,-30,64.92,33.9,0
44:57.5,-48,64.92,43.75,0
44:57.5,-62.45,64.92,22.05,0
44:57.5,-60.85,64.92,30.9,0
44:57.5,-67.8,64.92,23.6,0
44:57.5,-57.6,64.92,26.25,0
44:57.5,-56.6,64.92,24.15,0
44:57.5,-43.35,64.92,23.55,0
44:57.5,-37.85,64.92,30.7,0
44:57.5,-19,64.92,16.05,0
44:57.5,-10.05,64.92,27,0
44:57.6,-14.8,64.92,29.15,0
44:57.6,-5.3,64.92,38.15,0
44:57.6,1.55,64.92,32.7,0
44:57.6,-6.55,64.92,25.05,0
44:57.6,-4.55,64.92,28.05,0
44:57.6,-2.6,64.92,21.75,0
44:57.6,-12.25,64.92,12.95,0
44:57.6,-4.05,64.92,12.7,0
44:57.6,-9.25,64.92,1.1,0
44:57.6,-0.9,64.92,1.2,0
44:57.7,-7.05,64.92,-6.65,0
44:57.7,-3.2,64.92,-13.2,0
44:57.7,-7.2,64.92,-10.35,0
44:57.7,-6.8,64.92,-13.6,0
44:57.7,-2.35,64.92,-23.1,0
44:57.7,-9.75,64.92,-29.25,0
44:57.7,-5.9,64.92,-21.65,0
44:57.7,-14.55,64.92,-34.8,0
44:57.7,-8.65,64.92,-30.7,0
44:57.7,-6.5,64.92,-36.5,0
44:57.8,-1.95,64.92,-33.1,0
44:57.8,9.4,64.92,-39.55,0
44:57.8,6.2,64.92,-36.1,0
44:57.8,4.55,64.92,-35.75,0
44:57.8,17.2,64.92,-42.55,0
44:57.8,19.65,64.92,-47.1,0
44:57.8,19.4,64.92,-46.75,0
44:57.8,16.55,64.92,-38.5,0
44:57.8,14.4,64.92,-40.45,0
44:57.8,22.15,64.92,-37.3,0
44:57.9,15.8,64.92,-43.05,0
44:57.9,6.1,64.92,-41,0
44:57.9,8.05,64.92,-40.6,0
44:57.9,7.05,64.92,-31.6,0
44:57.9,19.6,64.92,-43.3,0
44:57.9,21.6,64.92,-38.4,0
44:57.9,18.85,64.92,-30.35,0
44:57.9,25.2,64.92,-18.5,0
44:57.9,38.95,64.92,-24.05,0
44:57.9,66.15,64.92,-22.9,0
44:58.0,91.95,64.92,-11.15,0
44:58.0,126.2,64.92,-6.05,0
44:58.0,162.9,64.92,-3.95,0
44:58.0,181,64.92,-2.95,0
44:58.0,207.75,64.92,0.4,0
44:58.0,217.45,64.92,-3.45,0
44:58.0,211.75,81.14,-12.95,0
44:58.0,211.2,81.14,-17.9,0
44:58.0,197.5,81.14,-12.35,0
44:58.0,184.15,81.14,-22.25,0
44:58.1,156.2,81.14,-26.35,0
44:58.1,120.85,81.14,-22.65,0
44:58.1,100.95,81.14,-26.85,0
44:58.1,76.6,81.14,-28.6,0
44:58.1,63,81.14,-9.1,0
44:58.1,35.4,81.14,-24.7,0
44:58.1,0,81.14,-18.35,0
44:58.1,-14.7,81.14,-15.6,0
44:58.1,-20.7,81.14,-14.3,0
44:58.1,-31.9,81.14,0.2,0
44:58.2,-34.65,81.14,-1.7,0
44:58.2,-27.85,81.14,-11.85,0
44:58.2,-37.3,81.14,2.35,0
44:58.2,-37.25,81.14,-7.9,0
44:58.2,-35.2,81.14,12.95,0
44:58.2,-27.2,81.14,0.25,0
44:58.2,-18.05,81.14,6.7,0
44:58.2,-24.6,81.14,12.5,0
44:58.2,-21,81.14,12.5,0
44:58.2,-17.25,81.14,24.25,0
44:58.3,-3.65,81.14,13.2,0
44:58.3,-5.85,81.14,17.95,0
44:58.3,-12.85,81.14,15.45,0
44:58.3,-10.4,81.14,19.45,0
44:58.3,-8,81.14,14.6,0
44:58.3,-12.1,81.14,6.25,0
44:58.3,-24.75,81.14,3.25,0
44:58.3,-27.45,81.14,1.35,0
44:58.3,-34.55,81.14,-3.35,0
44:58.3,-31.9,81.14,-2.4,0
44:58.4,-31.05,81.14,-0.7,0
44:58.4,-36.25,81.14,-9.2,0
44:58.4,-42.4,81.14,-3.35,0
44:58.4,-48.1,81.14,-10.75,0
44:58.4,-44.8,81.14,-2.55,0
44:58.4,-44.1,81.14,-10.65,0
44:58.4,-45.8,81.14,-16.15,0
44:58.4,-40.15,81.14,-8.7,0
44:58.4,-39.4,81.14,-21.55,0
44:58.4,-32.85,81.14,-9.3,0
44:58.5,-34.5,81.14,-24.7,0
44:58.5,-32.3,81.14,-22.8,0
44:58.5,-31.45,81.14,-22.85,0
44:58.5,-14.3,81.14,-18.7,0
44:58.5,-17.8,81.14,-28.15,0
44:58.5,-12.7,81.14,-28.8,0
44:58.5,-17.9,81.14,-26.55,0
44:58.5,-7.7,81.14,-33.85,0
44:58.5,-10.7,81.14,-28.5,0
44:58.5,-4.85,81.14,-30.85,0
44:58.6,-10.65,81.14,-22.4,0
44:58.6,-7.9,81.14,-25.1,0
44:58.6,-6.6,81.14,-18.7,0
44:58.6,-15.25,81.14,-16.65,0
44:58.6,-10.1,81.14,-11.35,0
44:58.6,-18.6,81.14,-5.65,0
44:58.6,-25.95,81.14,-6.15,0
44:58.6,-33.7,81.14,-3.35,0
44:58.6,-28.75,81.14,-1.3,0
44:58.6,-25.7,81.14,-3.5,0
44:58.7,-19.2,81.14,3.15,0
44:58.7,-0.7,81.14,2.85,0
44:58.7,22.45,81.14,8.2,0
44:58.7,47,81.14,6.75,0
44:58.7,80.35,81.14,14.3,0
44:58.7,123.35,81.14,17.5,0
44:58.7,151.15,81.14,17.65,0
44:58.7,192.75,81.14,5.85,0
44:58.7,212.5,81.14,7.1,0
44:58.7,229.9,97.57,4.2,0
44:58.8,236.8,97.57,-3.05,0
44:58.8,222.7,97.57,-4.5,0
44:58.8,200.95,97.57,-19.95,0
44:58.8,175.25,97.57,-18.45,0
44:58.8,151.25,97.57,-13.05,0
44:58.8,113.95,97.57,-14.35,0
44:58.8,79.3,97.57,-21.35,0
